Index_ID,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
3,5224438,Active,currency 1,-274,0,1552.0,,,0,1219500.0,,,0.0,Consumer credit,-14,
4,6239779,Active,currency 1,-110,0,224.0,,,0,202500.0,151735.5,0.0,0.0,Consumer credit,-13,10332.765
5,6261552,Closed,currency 1,-2496,0,-2069.0,-2057.0,,0,88582.5,0.0,0.0,0.0,Consumer credit,-903,0.0
6,6256413,Closed,currency 1,-2500,0,-2408.0,-2275.0,,0,21420.0,,,0.0,Consumer credit,-2275,
10,6144592,Active,currency 1,-270,0,1556.0,,,0,409500.0,382761.0,0.0,0.0,Consumer credit,-47,11601.0
11,5825535,Closed,currency 1,-829,0,-737.0,-737.0,,0,43857.0,0.0,0.0,0.0,Consumer credit,-673,23355.0
12,6312285,Active,currency 1,-89,0,30964.0,,,0,54000.0,53599.5,0.0,0.0,Credit card,-10,0.0
13,5975720,Closed,currency 1,-2851,0,-2637.0,-2651.0,,0,20655.0,0.0,,0.0,Consumer credit,-841,0.0
15,5853538,Closed,currency 1,-2669,0,-2456.0,-2484.0,,0,52605.0,0.0,,0.0,Consumer credit,-858,
16,6826377,Closed,currency 1,-1068,0,-610.0,-610.0,0.0,0,135000.0,0.0,0.0,0.0,Consumer credit,-604,
17,5206510,Closed,currency 1,-1251,0,-1006.0,-1001.0,,0,28143.0,0.0,0.0,0.0,Consumer credit,-1000,
18,6583397,Active,currency 1,-541,0,-327.0,,0.0,0,61962.3,0.0,0.0,0.0,Consumer credit,-524,
19,6578240,Active,currency 1,-643,0,1563.0,,,0,3511098.0,2924874.0,0.0,0.0,Car loan,-7,
23,5473554,Closed,currency 1,-822,0,-783.0,-783.0,,0,129141.0,0.0,,0.0,Consumer credit,-779,
24,6628408,Active,currency 1,-197,0,168.0,,0.0,0,222750.0,138460.5,0.0,0.0,Consumer credit,-19,
27,5951504,Closed,currency 1,-2491,0,-2275.0,-2275.0,0.0,0,55260.0,0.0,0.0,0.0,Consumer credit,-1746,0.0
28,6268005,Closed,currency 1,-2780,0,-2415.0,-2415.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-851,
31,6771629,Closed,currency 1,-1066,0,-914.0,-888.0,,0,20160.0,0.0,0.0,0.0,Consumer credit,-820,
32,6033673,Closed,currency 1,-451,0,-259.0,-259.0,,0,41175.0,0.0,0.0,0.0,Consumer credit,-235,0.0
33,5131642,Active,currency 1,-210,0,131.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-141,
34,5637310,Closed,currency 1,-1705,0,-1584.0,-1584.0,,0,93780.0,0.0,0.0,0.0,Consumer credit,-1582,
35,6557913,Active,currency 1,-317,0,1509.0,,,0,1796535.0,1616679.0,,0.0,Car loan,-12,
37,5224062,Closed,currency 1,-2570,0,-1839.0,-2059.0,,0,270000.0,0.0,,0.0,Consumer credit,-2059,0.0
38,5601360,Closed,currency 1,-1490,0,-759.0,-1113.0,,0,246015.0,0.0,,0.0,Consumer credit,-1111,
39,5909526,Closed,currency 1,-769,0,-628.0,-628.0,0.0,0,344387.745,0.0,0.0,0.0,Consumer credit,-628,
41,6807453,Active,currency 1,-104,0,30647.0,,,0,296379.0,,,0.0,Credit card,-1,
42,6413753,Closed,currency 1,-909,0,-543.0,-812.0,,0,72040.5,0.0,0.0,0.0,Consumer credit,-810,
44,5042604,Closed,currency 1,-985,0,-467.0,-527.0,,0,205699.95,0.0,,0.0,Consumer credit,-525,
45,6456918,Closed,currency 1,-2665,0,-2269.0,-2328.0,0.0,0,38677.5,0.0,0.0,0.0,Consumer credit,-2328,
46,5839003,Active,currency 1,-217,0,1626.0,,,0,0.0,13387.41,,0.0,Credit card,-3,
48,5194081,Closed,currency 1,-1456,0,-1091.0,-1372.0,,0,47745.0,0.0,,0.0,Consumer credit,-1370,
49,5846620,Closed,currency 1,-1238,0,-994.0,-999.0,,0,62415.0,0.0,0.0,0.0,Consumer credit,-998,
50,5898819,Closed,currency 1,-2408,0,-1498.0,-1498.0,,0,153238.5,,,0.0,Credit card,-1498,
